possession_team,quarter,down,yards_to_go,yards_to_endzone,seconds_in_half_remaining,score_diff_offense,called_pass,play_result,description,cfl_game_id,play_id,distance_bucket,field_bucket,score_bucket,time_bucket
WPG,4,2,6.0,66.0,547,-15.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete short middle to #83 D.Schoen thrown to WPG48 broken up by #1 D.Sankey,6401,28-2	,Medium (4-7),Own Territory,Trailing 8+,Late Half
MTL,4,1,10.0,76.0,522,15.0,1,Touchdown,"Shotgun #7 C.Fajardo pass complete deep middle to #6 T.Philpot caught at WPG32, for 76 yards to the WPG00 TOUCHDOWN, clock 08:30, 1ST DOWN",6401,29-1	,Long (8+),Own Territory,Leading 8+,Late Half
WPG,4,1,10.0,69.0,469,-21.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #10 N.Demski caught at WPG39, for 3 yards to the WPG44 (#1 D.Sankey)",6401,31-1	,Long (8+),Own Territory,Trailing 8+,Late Half
WPG,4,2,7.0,66.0,447,-21.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete short right to #86 K.Clercius thrown to WPG48 broken up by #26 T.Beverette,6401,31-2	,Medium (4-7),Own Territory,Trailing 8+,Late Half
MTL,4,1,10.0,101.0,413,21.0,0,Nothing,Shotgun #25 W.Fletcher rush middle for 5 yards gain to the MTL14 (#19 K.Wilson),6401,32-1	,Long (8+),Own Deep,Leading 8+,Late Half
MTL,4,2,5.0,96.0,371,21.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short left to #6 T.Philpot caught at MTL11, for 13 yards to the MTL27 (#41 B.Cole), 1ST DOWN",6401,32-2	,Medium (4-7),Own Deep,Leading 8+,Late Half
MTL,4,1,10.0,83.0,330,21.0,0,Nothing,Shotgun #25 W.Fletcher rush left for 6 yards gain to the MTL33 (#95 J.Thomas),6401,32-3	,Long (8+),Own Deep,Leading 8+,Late Half
MTL,4,2,4.0,77.0,286,21.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short right to #6 T.Philpot caught at MTL37, for 11 yards to the MTL44 (#31 E.Holm), 1ST DOWN",6401,32-4	,Medium (4-7),Own Territory,Leading 8+,Late Half
MTL,4,1,10.0,66.0,258,21.0,0,Nothing,Shotgun #7 C.Fajardo rush middle for 0 yards to the MTL44 (#91 J.Woods),6401,32-5	,Long (8+),Own Territory,Leading 8+,Late Half
MTL,4,2,10.0,66.0,208,21.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short middle to #25 W.Fletcher caught at MTL41, for 3 yards to the MTL47 (#94 D.Adams)",6401,32-6	,Long (8+),Own Territory,Leading 8+,Late Half
WPG,4,1,10.0,84.0,148,-21.0,0,Nothing,"Shotgun #27 J.Augustine rush left for 14 yards gain to the WPG40 (#8 N.Lyon), 1ST DOWN",6401,33-1	,Long (8+),Own Deep,Trailing 8+,Late Half
WPG,4,1,10.0,70.0,138,-21.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short left to #80 O.Wilson caught at WPG53, for 16 yards to the MTL54 (#8 N.Lyon), 1ST DOWN",6401,33-2	,Long (8+),Own Territory,Trailing 8+,Late Half
WPG,4,1,10.0,54.0,129,-21.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete short right to #27 J.Augustine thrown to MTL48,6401,33-3	,Long (8+),Midfield,Trailing 8+,Late Half
WPG,4,2,10.0,54.0,120,-21.0,0,Nothing,"Shotgun #8 Z.Collaros rush right for 5 yards gain to the MTL49 (#23 A.Ellis), out of bounds",6401,33-4	,Long (8+),Midfield,Trailing 8+,2-min
WPG,4,3,5.0,49.0,111,-21.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short middle to #86 K.Clercius caught at MTL44, for 9 yards to the MTL40 (#1 D.Sankey), 1ST DOWN",6401,33-5	,Medium (4-7),Midfield,Trailing 8+,2-min
WPG,4,1,10.0,40.0,102,-21.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short middle to #83 D.Schoen caught at MTL22, for 18 yards to the MTL22 (#30 B.Cosby), 1ST DOWN",6401,33-6	,Long (8+),Opponent Territory,Trailing 8+,2-min
WPG,4,1,10.0,22.0,90,-21.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #27 J.Augustine caught at MTL23, for 12 yards to the MTL10 (#26 T.Beverette), 1ST DOWN",6401,33-7	,Long (8+),Opponent Territory,Trailing 8+,2-min
WPG,4,1,10.0,10.0,83,-21.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #83 D.Schoen caught at MTL06, for 9 yards to the MTL01 (#12 N.Murray)",6401,33-8	,Long (8+),Red Zone,Trailing 8+,2-min
WPG,4,2,1.0,1.0,68,-21.0,0,Touchdown,"Shotgun #27 J.Augustine rush middle for 1 yard gain to the MTL00 TOUCHDOWN, clock 01:08, 1ST DOWN",6401,33-9	,Short (1-3),Red Zone,Trailing 8+,2-min
MTL,4,1,10.0,79.0,63,15.0,0,Nothing,Shotgun #25 W.Fletcher rush middle for 8 yards gain to the MTL39 (#37 B.Alexander),6401,35-1	,Long (8+),Own Territory,Leading 8+,2-min
